TOP TECH TIDBITS - 80% COVERAGE SOURCES

=======================================

來源: 141 期 (2024-01-04 ~ 2026-09-10) | 總連結 31,014 | 全部網域 1257



[A] 全部來源 (含社群/贊助/短網址)
80% 目標 (占全部連結) = 24,811 links | 達標來源數 = 92 個 / 1257 個 (累計 24,874 = 80.2% of 全部連結)

  RANK  LINKS  DOMAIN                                  TYPE        RSS?
    17     301  floridareading.com                       網站(無RSS)  no
    18     239  davidwoodbr.podbean.com                  RSS  YES
    19     234  apple.com                                網站(無RSS)  no
    20     206  wired.com                                網站(無RSS)  no
    21     204  nvaccess.org                             RSS  YES
    22     200  applevis.com                             RSS  YES
    23     196  accessinformationnews.com                RSS  YES
    24     179  nod.org                                  RSS  YES
    25     164  eyesonsuccess.net                        網站(無RSS)  no
    26     141  sbctc.edu                                網站(無RSS)  no
    27     140  visionaustralia.org                      網站(無RSS)  no
    28     139  accessibilityassociation.org             網站(無RSS)  no
    29     139  csudh.edu                                網站(無RSS)  no
    30     139  nsw.guidedogs.com.au                     網站(無RSS)  no
    31     134  dragonscave.space                        網站(無RSS)  no
    32     126  w3.org                                   網站(無RSS)  no
    33     124  ada.gov                                  網站(無RSS)  no
    34     124  ai-weekly.ai                             RSS  YES
    35     124  justice.gov                              網站(無RSS)  no
    36     121  omny.fm                                  網站(無RSS)  no
    37     119  cnet.com                                 RSS  YES
    38     116  biped.ai                                 網站(無RSS)  no
    39     114  innosearch.ai                            網站(無RSS)  no
    40     113  lionsclubs.org                           網站(無RSS)  no
    41     111  accessibleandroid.com                    RSS  YES
    42     111  aph.org                                  RSS  YES
    43     111  donnajodhan.com                          RSS  YES
    44     106  accessready.org                          RSS  YES
    45     102  inclusiveimagination.co                  RSS  YES
    46     101  seattlelighthouse.org                    網站(無RSS)  no
    47      94  tpgi.com                                 RSS  YES
    48      89  glidance.io                              網站(無RSS)  no
    49      78  novacoast.com                            網站(無RSS)  no
    50      77  novacoastfederal.com                     網站(無RSS)  no
    51      76  echobatix.com                            RSS  YES
    52      76  hadleyhelps.org                          網站(無RSS)  no
    53      75  accessiblesurveys.com                    網站(無RSS)  no
    54      75  github.com                               網站(無RSS)  no
    55      73  deque.com                                RSS  YES
    56      73  hims-inc.com                             網站(無RSS)  no
    57      72  luminade.ai                              網站(無RSS)  no
    58      70  guidelightsandgadgets.us                 網站(無RSS)  no
    59      68  accessibleinsights.info                  網站(無RSS)  no
    60      65  drkirkadams.com                          RSS  YES
    61      65  perkins.org                              RSS  YES
    62      64  blog.innosearch.ai                       網站(無RSS)  no
    63      63  eastersealstech.com                      RSS  YES
    64      63  theverge.com                             Atom  YES
    65      62  connectalt.com                           網站(無RSS)  no
    66      62  humanware.com                            RSS  YES
    67      60  nfb.org                                  網站(無RSS)  no
    68      60  sterlingadaptives.com                    網站(無RSS)  no
    69      58  fashionabilitychannel.com                RSS  YES
    70      58  loom.com                                 網站(無RSS)  no
    71      56  visionsupport.org                        網站(無RSS)  no
    72      55  caseforvision.com                        網站(無RSS)  no
    73      53  afb.org                                  網站(無RSS)  no
    74      53  amzn.to                                  網站(無RSS)  no
    75      53  humanware.ca                             網站(無RSS)  no
    76      51  pcmag.com                                網站(無RSS)  no
    77      51  taylorarndt.substack.com                 RSS  YES
    78      50  ada.osu.edu                              網站(無RSS)  no
    79      50  blog.usablenet.com                       RSS  YES
    80      48  blazietech.com                           網站(無RSS)  no
    81      48  helenkeller.org                          RSS  YES
    82      47  techopolis.social                        網站(無RSS)  no
    83      46  blog.freedomscientific.com               RSS  YES
    84      45  pcworld.com                              RSS  YES
    85      43  accesstechlive.com                       RSS  YES
    86      43  howtogeek.com                            網站(無RSS)  no
    87      43  zdnet.com                                RSS  YES
    88      40  rarepatientvoice.com                     RSS  YES
    89      40  vi.ie                                    網站(無RSS)  no
    90      38  accessibility.day                        RSS  YES
    91      38  apple.co                                 網站(無RSS)  no
    92      37  techopolis.app                           網站(無RSS)  no
    93      36  forms.technologyreview.com               網站(無RSS)  no
    94      36  speechcentral.net                        RSS  YES
    95      34  9to5mac.com                              RSS  YES
    96      34  braillists.org                           RSS  YES
    97      34  perspectiveintelligence.app              網站(無RSS)  no
    98      34  webaim.org                               網站(無RSS)  no
    99      32  infograph.venngage.com                   網站(無RSS)  no
   100      31  forbes.com                               網站(無RSS)  no
   101      31  fourbadeyes.com                          網站(無RSS)  no
   102      31  podcasters.spotify.com                   網站(無RSS)  no
   103      30  anchor.fm                                網站(無RSS)  no
   104      30  bemyeyes.com                             RSS  YES
   105      30  open.spotify.com                         網站(無RSS)  no
   106      30  support.freedomscientific.com            網站(無RSS)  no
   107      30  washingtonpost.com                       網站(無RSS)  no
   108      29  techcrunch.com                           RSS  YES
   109      28  brailleinstitute.org                     網站(無RSS)  no
   110      28  seeingeye.org                            RSS  YES

依類型統計（占達標 link 數比例）:
  RSS                47 個 |    8860 links | 57%
  網站(無RSS)           62 個 |    6564 links | 42%
  Atom                1 個 |      63 links | 0%


SOURCE AUDIT (2026-09-17, 以 sources-rss.tsv 所列 feed 實測)

  排行  域(l count)  實測feed日期範圍     主要內容/主題                    結論
   #5  pneumasolutions.com (920)  2026-03-13~09-11  Remote Incident Manager 產品消息  保留#1高頻(與使用者回報不符,見下)
  #12 mvsltd.com (511)             2023-12~2024-02   數位行銷/ChatGPT listicle        排除:停更+離題
  #19 visiontechacademy.com (390)  2024-12~2025-07   低視能目錄/贊助名錄               排除:停更+目錄
  #21 makeitfable.com (338)        2025-12~2026-07   C.A.R.E.框架/研究報告/AI Insights  保留:RSS=makeitfable.com/feed/
  #22 wayaround.com (336)          2023-12~2024-07   WayTags(NFC)產品行銷             排除:停更+產品推銷

補充:
- makeitfable.com 只有網站 blog RSS(https://makeitfable.com/feed/),無 podcast feed
  (另有 YouTube @makeitfable);主題=無障礙研究/設計,更新至 2026-07-23,建議保留為內容來源。
- pneumasolutions.com:使用者 2026-09-17 回報"今年沒有更新",但 feed 實測有
  2026-03-13 ~ 09-11 共 10 項(最新 2026-09-11 Remote Incident Manager Mobile
  Debut),與回報不符,標記待人工勾稽 (可能指網站新聞頁或不同發布管道)。
- 停更/離題判斷建議:以 feed 最後一筆日期 + 主題歸類為準,每年年度稽核一次。

